,State,VEP_Counted,VEP,Minor,Cast,VAP,Democrat,Republican,Year,Counted,Type,Treatment,White,Black,Hispanic,American Indian/Alaska Native,Asian,Native Hawaiian/Other Pacific Islander,Two Or More Races,Total,Footnotes,OtherRace,Treatment2
184,New Jersey,20.4,"6,060,729",,,"6,989,532","793,548","443,062",2016,"1,236,610",Primary,,4883400,1090900,1756100,8200,833200,,188200,8762700,,,NA
59,New Mexico,19.3,"1,371,818",,"264,238","1,492,570",,"110,939",2008,,Primary,,803100,36000,876200,162700,24700,,30800,1934000,,,NA
122,New Mexico,16.6,"1,443,135",,"239,753","1,589,265","146,823","92,930",2012,,Primary,,812200,34000,960400,178400,25900,,27500,2039200,,,NA
185,New Mexico,22.6,"1,455,013",,,"1,592,398","216,705","104,627",2016,"328,792",Primary,,769600,33400,986700,174600,30200,,33500,2029400,,,NA
27,New York,19.5,"13,166,835",,"2,561,221","14,924,774","1,891,143","670,078",2008,,Primary,,11360200,2748600,3154900,50500,1299800,6100,323800,18944000,,,NA
107,New York,1.4,"13,211,191",,,"15,214,317",,"190,515",2012,,Primary,,10922400,2719700,3476600,42600,1456800,,413700,19040100,,,NA
170,New York,21.2,"13,638,797",,,"15,635,714","1,970,900","921,771",2016,"2,892,671",Primary,,10683700,2727900,3665200,38800,1627800,6800,471300,19221500,,,NA
52,North Carolina,32.8,"6,488,268",,"2,125,215","6,957,520","1,580,726","517,583",2008,,Primary,,5975700,1853900,657500,87100,166600,2700,142700,8886300,,,0
111,North Carolina,31.5,"6,923,832","7,692","2,182,675","7,457,823","966,887","973,206",2012,,Primary,,6107600,1992500,818900,98300,219500,6400,196000,9439200,,,0
160,North Carolina,31.6,"7,266,734","5,819",,"7,816,113","1,142,916","1,149,530",2016,"2,298,265",Primary,,6255500,2069000,905300,103800,267100,5500,223800,9829900,,,0
200,North Carolina,28.1,"7,695,964","6,721",,"8,258,006","1,332,382","802,527",2020,"2,164,731",Primary,,6994240,2179622,,121352,282264,6939,263301,10155624,,307906,0
28,North Dakota,5.9,"489,003",,"28,887","498,641","19,102","9,785",2008,,Caucus,,550200,4200,12600,33000,,,6900,610300,,,0
